Country,variable,value
Czechia,2009,72.7
Denmark,2009,
Estonia,2009,92.1
Finland,2009,
France,2009,
Germany,2009,62.4
Greece,2009,
Hungary,2009,50
Ireland,2009,
Italy,2009,71.25
Latvia,2009,
Lithuania,2009,61.16
Luxembourg,2009,104
Malta,2009,80
Netherlands,2009,50
Norway,2009,
Poland,2009,
Portugal,2009,47.44
Romania,2009,
Slovakia,2009,80
Slovenia,2009,70
Spain,2009,59.64
Sweden,2009,82.97
Turkey,2009,
United Kingdom,2009,44.93
Austria,2008,70
Belgium,2008,49.28
Bulgaria,2008,
Croatia,2008,60
Cyprus,2008,
Czechia,2008,73.2
Denmark,2008,70
Estonia,2008,
Finland,2008,
France,2008,
Germany,2008,61.6
Greece,2008,
Hungary,2008,57.5
Ireland,2008,
Italy,2008,75.8
Latvia,2008,107
Lithuania,2008,61.11
Luxembourg,2008,
Malta,2008,70
Netherlands,2008,50
Norway,2008,
Poland,2008,44
Portugal,2008,45.56
Romania,2008,
Slovakia,2008,83.5
Slovenia,2008,69
Spain,2008,60.03
Sweden,2008,91.71
Turkey,2008,
United Kingdom,2008,50.35
Austria,2007,80
Belgium,2007,48.23
Bulgaria,2007,
Croatia,2007,60
Cyprus,2007,
Czechia,2007,75.1
Denmark,2007,
Estonia,2007,
Finland,2007,
France,2007,60
Germany,2007,63.3
Greece,2007,
Hungary,2007,58.6
Ireland,2007,
Italy,2007,82.13
Latvia,2007,65.7
Lithuania,2007,54.59
Luxembourg,2007,
Malta,2007,85.27
Netherlands,2007,50
Norway,2007,
Poland,2007,
Portugal,2007,44.65
Romania,2007,
Slovakia,2007,
Slovenia,2007,
Spain,2007,60.75
Sweden,2007,87.6
Turkey,2007,
United Kingdom,2007,67.25
Austria,2006,65
Belgium,2006,48.04
Bulgaria,2006,
Croatia,2006,60
Cyprus,2006,
Czechia,2006,80.6
Denmark,2006,
Estonia,2006,73.65
Finland,2006,
France,2006,61
Germany,2006,59.1
Greece,2006,
Hungary,2006,67
Ireland,2006,
Italy,2006,84.28
Latvia,2006,
Lithuania,2006,57.18
Luxembourg,2006,65
Malta,2006,76
Netherlands,2006,50
Norway,2006,106.25
Poland,2006,49.2
Portugal,2006,45.73
Romania,2006,
Slovakia,2006,
Slovenia,2006,56.5
Spain,2006,60.66
Sweden,2006,88
Turkey,2006,90
United Kingdom,2006,72.81
Austria,2005,80
Belgium,2005,50.32
Bulgaria,2005,
Croatia,2005,60
Cyprus,2005,
Czechia,2005,78
Denmark,2005,
Estonia,2005,73.45
Finland,2005,
France,2005,58.5
Germany,2005,60.5
Greece,2005,
Hungary,2005,59.9
Ireland,2005,
Italy,2005,86.91
Latvia,2005,
Lithuania,2005,52.17
Luxembourg,2005,65
Malta,2005,
Netherlands,2005,
Norway,2005,106.25
Poland,2005,44.8
Portugal,2005,45.11
Romania,2005,
Slovakia,2005,
Slovenia,2005,60.42
Spain,2005,60.58
Sweden,2005,89
Turkey,2005,55
United Kingdom,2005,72.15
Austria,2004,90
Belgium,2004,
Bulgaria,2004,55
Croatia,2004,
Cyprus,2004,
Czechia,2004,72.1
Denmark,2004,
Estonia,2004,63.9
Finland,2004,
France,2004,60
Germany,2004,58.9
Greece,2004,
Hungary,2004,60.9
Ireland,2004,
Italy,2004,90.81
Latvia,2004,
Lithuania,2004,57.9
Luxembourg,2004,70
Malta,2004,
Netherlands,2004,
Norway,2004,148.25
Poland,2004,50
Portugal,2004,42.23
Romania,2004,90
Slovakia,2004,70
Slovenia,2004,54.12
Spain,2004,71.46
Sweden,2004,92
Turkey,2004,90
United Kingdom,2004,73.45
Austria,2003,
Belgium,2003,44.5
Bulgaria,2003,60
Croatia,2003,
Cyprus,2003,
Czechia,2003,
Denmark,2003,
Estonia,2003,64
Finland,2003,134
France,2003,71
Germany,2003,60.1
Greece,2003,
Hungary,2003,60
Ireland,2003,
Italy,2003,
Latvia,2003,38
Lithuania,2003,48
Luxembourg,2003,57.5
Malta,2003,
Netherlands,2003,45
Norway,2003,175
Poland,2003,36.4
Portugal,2003,41.4
Romania,2003,90
Slovakia,2003,76
Slovenia,2003,67.5
Spain,2003,78.52
Sweden,2003,92
Turkey,2003,90
United Kingdom,2003,78.35
Austria,2002,
Belgium,2002,
Bulgaria,2002,60
Croatia,2002,
Cyprus,2002,
Czechia,2002,75
Denmark,2002,93.3
Estonia,2002,51.3
Finland,2002,168
France,2002,61.4
Germany,2002,63.93
Greece,2002,
Hungary,2002,65
Ireland,2002,100
Italy,2002,
Latvia,2002,55
Lithuania,2002,77
Luxembourg,2002,50
Malta,2002,
Netherlands,2002,
Norway,2002,175
Poland,2002,50
Portugal,2002,38.57
Romania,2002,
Slovakia,2002,
Slovenia,2002,
Spain,2002,75.16
Sweden,2002,95
Turkey,2002,90
United Kingdom,2002,87
