Country,variable,value
Poland,2013,7.75
Portugal,2013,5.47
Romania,2013,
Slovakia,2013,10
Slovenia,2013,
Spain,2013,4.65
Sweden,2013,13
Turkey,2013,
United Kingdom,2013,
Austria,2012,
Belgium,2012,8.65
Bulgaria,2012,6
Croatia,2012,8
Cyprus,2012,
Czechia,2012,7.4
Denmark,2012,
Estonia,2012,20
Finland,2012,
France,2012,9.6
Germany,2012,9.1
Greece,2012,
Hungary,2012,7.9
Ireland,2012,20
Italy,2012,8.35
Latvia,2012,14.62
Lithuania,2012,10.7
Luxembourg,2012,12.4
Malta,2012,25
Netherlands,2012,5.3
Norway,2012,
Poland,2012,
Portugal,2012,
Romania,2012,
Slovakia,2012,
Slovenia,2012,
Spain,2012,5.02
Sweden,2012,13
Turkey,2012,
United Kingdom,2012,
Austria,2011,
Belgium,2011,7.92
Bulgaria,2011,6
Croatia,2011,9.9
Cyprus,2011,
Czechia,2011,7.7
Denmark,2011,
Estonia,2011,
Finland,2011,
France,2011,9.9
Germany,2011,8.9
Greece,2011,
Hungary,2011,8.2
Ireland,2011,
Italy,2011,8.29
Latvia,2011,
Lithuania,2011,10.14
Luxembourg,2011,13.59
Malta,2011,23.32
Netherlands,2011,5.9
Norway,2011,
Poland,2011,
Portugal,2011,
Romania,2011,
Slovakia,2011,15
Slovenia,2011,
Spain,2011,4.52
Sweden,2011,12
Turkey,2011,
United Kingdom,2011,
Austria,2010,
Belgium,2010,7.47
Bulgaria,2010,
Croatia,2010,7.5
Cyprus,2010,
Czechia,2010,7.8
Denmark,2010,
Estonia,2010,
Finland,2010,
France,2010,
Germany,2010,8.7
Greece,2010,
Hungary,2010,8.2
Ireland,2010,
Italy,2010,8.545
Latvia,2010,9.9
Lithuania,2010,10.14
Luxembourg,2010,11.6
Malta,2010,24.5
Netherlands,2010,4.2
Norway,2010,
Poland,2010,
Portugal,2010,
Romania,2010,
Slovakia,2010,8
Slovenia,2010,6
Spain,2010,4.1
Sweden,2010,10.9
Turkey,2010,5
United Kingdom,2010,3.32
Austria,2009,
Belgium,2009,7.15
Bulgaria,2009,2.25
Croatia,2009,7
Cyprus,2009,
Czechia,2009,8
Denmark,2009,
Estonia,2009,18.3
Finland,2009,
France,2009,
Germany,2009,7.9
Greece,2009,
Hungary,2009,8
Ireland,2009,
Italy,2009,8.195
Latvia,2009,
Lithuania,2009,11.59
Luxembourg,2009,10.5
Malta,2009,70
Netherlands,2009,4.9
Norway,2009,
Poland,2009,
Portugal,2009,6.22
Romania,2009,
Slovakia,2009,15
Slovenia,2009,6
Spain,2009,3.58
Sweden,2009,9.15
Turkey,2009,
United Kingdom,2009,3.2
Austria,2008,10
Belgium,2008,6.98
Bulgaria,2008,1.3
Croatia,2008,5
Cyprus,2008,
Czechia,2008,6.6
Denmark,2008,
Estonia,2008,
Finland,2008,
France,2008,
Germany,2008,7.9
Greece,2008,
Hungary,2008,8.6
Ireland,2008,
Italy,2008,7.3
Latvia,2008,15.7
Lithuania,2008,11.01
Luxembourg,2008,
Malta,2008,4
Netherlands,2008,5.2
Norway,2008,
Poland,2008,6
Portugal,2008,5.09
Romania,2008,
Slovakia,2008,24.5
Slovenia,2008,5
Spain,2008,3.09
Sweden,2008,9.49
Turkey,2008,
United Kingdom,2008,3.59
Austria,2007,9
Belgium,2007,5.97
Bulgaria,2007,1.3
Croatia,2007,3
Cyprus,2007,
Czechia,2007,6.4
Denmark,2007,
Estonia,2007,
Finland,2007,
France,2007,7
Germany,2007,8.1
Greece,2007,
Hungary,2007,8.7
Ireland,2007,
Italy,2007,6.6
Latvia,2007,10.1
Lithuania,2007,11.55
Luxembourg,2007,8
Malta,2007,2.91
Netherlands,2007,4.3
Norway,2007,
Poland,2007,
Portugal,2007,4.7
Romania,2007,
Slovakia,2007,
Slovenia,2007,
Spain,2007,3.06
Sweden,2007,9.07
Turkey,2007,
United Kingdom,2007,3.95
Austria,2006,4
Belgium,2006,5.38
Bulgaria,2006,1
Croatia,2006,3
Cyprus,2006,
Czechia,2006,6.9
Denmark,2006,
Estonia,2006,11.2
Finland,2006,
France,2006,5
Germany,2006,8.2
Greece,2006,
Hungary,2006,8
Ireland,2006,
Italy,2006,5.75
Latvia,2006,
Lithuania,2006,9.53
Luxembourg,2006,8
Malta,2006,13
Netherlands,2006,4.4
Norway,2006,
Poland,2006,7.1
Portugal,2006,2.15
Romania,2006,
Slovakia,2006,
Slovenia,2006,6
Spain,2006,2.99
Sweden,2006,8
Turkey,2006,3
United Kingdom,2006,3.98
Austria,2005,3
Belgium,2005,5.75
Bulgaria,2005,
Croatia,2005,3
Cyprus,2005,
Czechia,2005,5.7
Denmark,2005,
Estonia,2005,9.5
Finland,2005,
France,2005,6.4
Germany,2005,7.2
Greece,2005,
Hungary,2005,8.4
Ireland,2005,
Italy,2005,5.65
Latvia,2005,14
Lithuania,2005,8.69
Luxembourg,2005,7.5
Malta,2005,
Netherlands,2005,4.11
Norway,2005,
Poland,2005,6.2
Portugal,2005,3.67
Romania,2005,
Slovakia,2005,
Slovenia,2005,5.2
Spain,2005,2.785
Sweden,2005,8
Turkey,2005,2
United Kingdom,2005,3.89
Austria,2004,3
Belgium,2004,
Bulgaria,2004,0.8
Croatia,2004,
Cyprus,2004,
Czechia,2004,5.3
Denmark,2004,
Estonia,2004,3.1
Finland,2004,8
France,2004,4.6
Germany,2004,7.2
Greece,2004,
Hungary,2004,8.3
Ireland,2004,
Italy,2004,6.05
Latvia,2004,10
Lithuania,2004,10.1
Luxembourg,2004,7.3
Malta,2004,
Netherlands,2004,6.22
Norway,2004,
Poland,2004,6
Portugal,2004,2.66
Romania,2004,3
Slovakia,2004,
Slovenia,2004,5.2
Spain,2004,2.885
Sweden,2004,8
Turkey,2004,3
United Kingdom,2004,3.66
Austria,2003,
Belgium,2003,5
Bulgaria,2003,0.8
Croatia,2003,
Cyprus,2003,
Czechia,2003,5.8
Denmark,2003,
Estonia,2003,11
Finland,2003,
France,2003,5
Germany,2003,7.3
Greece,2003,
Hungary,2003,4.8
Ireland,2003,
Italy,2003,
Latvia,2003,12
Lithuania,2003,9
Luxembourg,2003,8.1
Malta,2003,
Netherlands,2003,5.97
Norway,2003,
Poland,2003,4.5
Portugal,2003,4
Romania,2003,9.1
Slovakia,2003,7.75
Slovenia,2003,3.45
Spain,2003,2.79
Sweden,2003,8
Turkey,2003,5
United Kingdom,2003,3.62
Austria,2002,
Belgium,2002,
Bulgaria,2002,0.8
Croatia,2002,
Cyprus,2002,
Czechia,2002,3.35
Denmark,2002,
Estonia,2002,1.93
Finland,2002,8
France,2002,4.91
Germany,2002,7.26
Greece,2002,
Hungary,2002,7
Ireland,2002,3
Italy,2002,
Latvia,2002,14
Lithuania,2002,17
Luxembourg,2002,
Malta,2002,
Netherlands,2002,6.45
Norway,2002,
Poland,2002,8
Portugal,2002,2.62
Romania,2002,9.38
Slovakia,2002,
Slovenia,2002,
Spain,2002,2.855
Sweden,2002,7
Turkey,2002,4
United Kingdom,2002,4.39
