geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
90020,-30.029676517889172,-51.224422866639735,porto alegre,RS
90050,-30.04057079101501,-51.22250075826643,porto alegre,RS
90030,-30.027936594494843,-51.21999553719197,porto alegre,RS
90020,-30.029059739107836,-51.226730571181314,porto alegre,RS
90035,-30.02838531447276,-51.21175881917598,porto alegre,RS
90010,-30.033257543424398,-51.23222038190318,porto alegre,RS
90040,-30.04064746488548,-51.21079758505979,porto alegre,RS
90020,-30.02917191978765,-51.22789130431656,porto alegre,RS
90050,-30.042200378844754,-51.214106592705825,porto alegre,RS
90010,-30.034493015263443,-51.23388502608349,porto alegre,RS
90010,-30.028075145161253,-51.228959368457396,porto alegre,RS
90035,-30.031861431040376,-51.216323537191975,porto alegre,RS
90035,-30.036454575076466,-51.20827926144042,porto alegre,RS
90050,-30.044958685527238,-51.21747509700499,porto alegre,RS
90035,-30.03297467636568,-51.212642936112225,porto alegre,RS
90010,-30.0322605745282,-51.23272437676727,porto alegre,RS
90050,-30.037241304749244,-51.223698398551605,porto alegre,RS
90010,-30.0360866128167,-51.23032004079865,porto alegre,RS
90020,-30.029702489324183,-51.22397213336026,porto alegre,RS
90050,-30.04613898335158,-51.217708347221325,porto alegre,RS
90020,-30.029543633360266,-51.225735749668104,porto alegre,RS
90050,-30.045854368024713,-51.215213222026726,porto alegre,RS
90050,-30.034419170696484,-51.224088661261426,porto alegre,RS
90010,-30.03623192091283,-51.23471983028446,porto alegre,RS
90010,-30.034847536211032,-51.23454199417162,porto alegre,RS
90040,-30.04183663725541,-51.21602634222969,porto alegre,RS
90050,-30.040024389404998,-51.225473316117544,porto alegre,RS
90002,-30.028363607536587,-51.23058931210683,porto alegre,RS
90010,-30.028157582001356,-51.22994925382302,porto alegre,RS
90050,-30.04004214821968,-51.22040109824575,porto alegre,RS
90030,-30.02404874104109,-51.22126466778228,porto alegre,RS
90035,-30.031648491257428,-51.216071698597624,porto alegre,RS
90050,-30.043620080718192,-51.2245314107624,porto alegre,RS
90010,-30.03045229808414,-51.23002568027577,porto alegre,RS
90035,-30.032230306134228,-51.21237281542504,porto alegre,RS
90020,-30.030403568959613,-51.224227878988984,porto alegre,RS
90010,-30.03312478434991,-51.23711865987645,porto alegre,RS
90040,-30.044327199782828,-51.21915133973192,porto alegre,RS
90010,-30.032951353597984,-51.23283193548377,porto alegre,RS
90040,-30.03794567222569,-51.21073990729416,porto alegre,RS
90030,-30.024184600623713,-51.22095152744394,porto alegre,RS
90040,-30.040069830140236,-51.21015104134693,porto alegre,RS
90030,-30.027992405505163,-51.21994846280803,porto alegre,RS
90035,-30.033942276703854,-51.21413952386179,porto alegre,RS
90035,-30.03483695337295,-51.210982352472804,porto alegre,RS
90010,-30.03746921787179,-51.228586131282796,porto alegre,RS
90010,-30.037233489035724,-51.22842451901436,porto alegre,RS
90050,-30.041124800161608,-51.218340140429405,porto alegre,RS
90020,-30.032335257285474,-51.22770928697565,porto alegre,RS
90010,-30.033584287264095,-51.23555779906509,porto alegre,RS
90020,-30.02973046378897,-51.2244211588955,porto alegre,RS
90010,-30.030621549252782,-51.23440178657161,porto alegre,RS
90040,-30.04021456287144,-51.2089362979399,porto alegre,RS
90050,-30.04620692977097,-51.216499718016024,porto alegre,RS
90010,-30.030492425212003,-51.23383371342838,porto alegre,RS
90050,-30.03940961284127,-51.220146327002624,porto alegre,RS
90050,-30.041055702464114,-51.22056232223439,porto alegre,RS
90040,-30.03748119262503,-51.21120381960866,porto alegre,RS
90050,-30.03895964446877,-51.226427143343585,porto alegre,RS
90020,-30.02972190249153,-51.22623098439275,porto alegre,RS
90010,-30.031573665493386,-51.23075762533576,porto alegre,RS
90035,-30.03265329586243,-51.212532466847385,porto alegre,RS
90030,-30.02807446378896,-51.221118965722205,porto alegre,RS
90010,-30.035017256188954,-51.23308601610017,porto alegre,RS
90035,-30.035079953372954,-51.2109913524728,porto alegre,RS
90030,-30.024708496797352,-51.222463296843394,porto alegre,RS
90030,-30.027902405505163,-51.21858063044607,porto alegre,RS
90040,-30.040957613105174,-51.21671638802002,porto alegre,RS
90020,-30.029578492353945,-51.22201486372555,porto alegre,RS
90040,-30.04021056064974,-51.21527538219164,porto alegre,RS
90030,-30.023588335564586,-51.22171011642339,porto alegre,RS
90050,-30.03666396309648,-51.223640489324175,porto alegre,RS
90020,-30.03067923674191,-51.223426804345216,porto alegre,RS
90050,-30.03834844047544,-51.223103932685135,porto alegre,RS
90030,-30.028116510675808,-51.22305503427779,porto alegre,RS
90035,-30.03093963918865,-51.217301775203296,porto alegre,RS
90010,-30.030539574787998,-51.2341497865716,porto alegre,RS
90038,-30.026346286427373,-51.22249899457565,porto alegre,RS
90040,-30.046877747994643,-51.20877432252285,porto alegre,RS
90040,-30.04922960892055,-51.21714774954625,porto alegre,RS
90020,-30.03199325728547,-51.22770028697564,porto alegre,RS
90010,-30.029195912574288,-51.2287437356454,porto alegre,RS
90035,-30.028455136274452,-51.21504929418902,porto alegre,RS
90010,-30.029358216486806,-51.23005191049682,porto alegre,RS
90010,-30.030444408823374,-51.23572475630453,porto alegre,RS
90030,-30.026834862629016,-51.22338655744709,porto alegre,RS
90035,-30.03375327670386,-51.214478082145604,porto alegre,RS
90010,-30.027638556754603,-51.22964211850086,porto alegre,RS
90010,-30.03348853621103,-51.22912043727282,porto alegre,RS
90020,-30.027048432973622,-51.2256231715332,porto alegre,RS
90050,-30.038592991401657,-51.224552590628356,porto alegre,RS
90030,-30.028200767701488,-51.223555440879466,porto alegre,RS
90010,-30.03571334722135,-51.23379668082404,porto alegre,RS
90010,-30.035027482110824,-51.2295517456287,porto alegre,RS
90035,-30.028202580904843,-51.21731326409481,porto alegre,RS
90050,-30.039172764354607,-51.22387177739635,porto alegre,RS
90010,-30.034888438253738,-51.23485450582837,porto alegre,RS
90035,-30.02857124562871,-51.21504929418902,porto alegre,RS
90035,-30.029533492353945,-51.221142199001655,porto alegre,RS
90010,-30.03606058728148,-51.23063954079865,porto alegre,RS
90035,-30.033157066170407,-51.21261856809723,porto alegre,RS
90050,-30.034903431040377,-51.22611846572221,porto alegre,RS
90010,-30.036081372756573,-51.23094301027178,porto alegre,RS
90010,-30.029232156650792,-51.23329384700222,porto alegre,RS
90010,-30.033378241185307,-51.23439530737496,porto alegre,RS
90040,-30.041227581193294,-51.21069774686946,porto alegre,RS
90050,-30.045659783513194,-51.22367186332149,porto alegre,RS
90035,-30.032267878700523,-51.220105533441064,porto alegre,RS
90020,-30.0368874343586,-51.22823308203001,porto alegre,RS
90020,-30.029775763435897,-51.22736942802489,porto alegre,RS
90010,-30.034249825985288,-51.23614660851752,porto alegre,RS
90050,-30.03944002969017,-51.219964477927206,porto alegre,RS
90010,-30.040030645565285,-51.235608766720546,porto alegre,RS
90040,-30.043900613105173,-51.21090591355522,porto alegre,RS
90030,-30.027531290582317,-51.22617991993189,porto alegre,RS
90030,-30.028523697845174,-51.21932844604949,porto alegre,RS
90035,-30.02920372938432,-51.211194239107826,porto alegre,RS
90035,-30.040992618096823,-51.208213205811006,porto alegre,RS
90035,-30.031766444630378,-51.21731378241667,porto alegre,RS
90022,-30.01809091785441,-51.20550665251886,porto alegre,RS
90020,-30.03088740799299,-51.232449706049344,porto alegre,RS
90020,-30.029657543424392,-51.22417536663974,porto alegre,RS
90010,-30.03356614572463,-51.22762332932634,porto alegre,RS
90010,-30.036106561746248,-51.22940500582837,porto alegre,RS
90040,-30.043732411593343,-51.2183077275953,porto alegre,RS
90020,-30.029604517889172,-51.222924000000006,porto alegre,RS
90010,-30.028289457960586,-51.23018323896361,porto alegre,RS
90020,-30.032707148219675,-51.23782068206479,porto alegre,RS
90020,-30.02811428864907,-51.22453987800805,porto alegre,RS
90010,-30.030777701915856,-51.22997931972423,porto alegre,RS
90035,-30.02896267831388,-51.20945690383172,porto alegre,RS
90050,-30.03808150124075,-51.22282799070918,porto alegre,RS
90030,-30.027835423827014,-51.21752223980033,porto alegre,RS
90035,-30.030479245628708,-51.2084397686538,porto alegre,RS
90090,-29.98906623199997,-51.26255999999995,porto alegre,RS
90035,-30.02799764556529,-51.20918346211553,porto alegre,RS
90035,-30.029094586733226,-51.21509476409481,porto alegre,RS
90010,-30.033364169311504,-51.226104908679154,porto alegre,RS
90010,-30.034992288937534,-51.23328401610015,porto alegre,RS
90035,-30.031161894252428,-51.21225422121865,porto alegre,RS
90040,-30.04227662115525,-51.21814779793992,porto alegre,RS
90035,-30.035456664723874,-51.2096697614404,porto alegre,RS
90010,-30.03159151485941,-51.2289717485429,porto alegre,RS
90040,-30.04362063864039,-51.21110841355522,porto alegre,RS
90040,-30.03936946378897,-51.20845238773154,porto alegre,RS
90020,-30.03281854371285,-51.22709564031381,porto alegre,RS
90050,-30.04348560892157,-51.22270751817764,porto alegre,RS
90040,-30.041617336949567,-51.21134779502573,porto alegre,RS
90050,-30.038002261440422,-51.225123531767615,porto alegre,RS
90035,-30.0269531740147,-51.209867975301506,porto alegre,RS
90020,-30.030385568959623,-51.22457887898898,porto alegre,RS
90040,-30.037871199838392,-51.21909630128679,porto alegre,RS
90010,-30.03019225036057,-51.232993491805686,porto alegre,RS
90010,-30.036297845951943,-51.23798743810951,porto alegre,RS
90050,-30.034837907842427,-51.2239529325696,porto alegre,RS
90020,-30.030448568959613,-51.223768878988984,porto alegre,RS
90020,-30.03735846211553,-51.22807951289752,porto alegre,RS
90030,-30.02716025783374,-51.22485772675858,porto alegre,RS
90010,-30.0355896217035,-51.229945487102476,porto alegre,RS
90010,-30.029849065567678,-51.22858357152839,porto alegre,RS
90010,-30.036121438253737,-51.22848049417161,porto alegre,RS
90040,-30.038114199838386,-51.21890377575156,porto alegre,RS
90035,-30.02844772938432,-51.21267507438397,porto alegre,RS
90020,-30.0286924565756,-51.22503456272721,porto alegre,RS
90030,-30.028107510675806,-51.2228030342778,porto alegre,RS
90040,-30.03769932056095,-51.21058406717062,porto alegre,RS
90020,-30.030124399676772,-51.230344987506506,porto alegre,RS
90020,-30.029835249474804,-51.228580305072796,porto alegre,RS
90030,-30.02473195475793,-51.22341302885343,porto alegre,RS
90010,-30.03022376796129,-51.233273040942876,porto alegre,RS
90050,-30.03937855952456,-51.22466662559865,porto alegre,RS
90010,-30.034862528997675,-51.23406949417162,porto alegre,RS
90020,-30.031819407438398,-51.22789417306242,porto alegre,RS
90010,-30.035731902590967,-51.23859494379367,porto alegre,RS
90013,-30.037325467684106,-51.236603779906524,porto alegre,RS
90010,-30.03456778129149,-51.23644252455429,porto alegre,RS
90040,-30.04337463142703,-51.21128689912853,porto alegre,RS
90010,-30.03575581210684,-51.227049285446434,porto alegre,RS
90030,-30.02665049321932,-51.22056108090486,porto alegre,RS
90040,-30.0407646833342,-51.209907407294146,porto alegre,RS
90035,-30.02931353231589,-51.214472968636386,porto alegre,RS
90010,-30.0328824343586,-51.23068309313852,porto alegre,RS
90050,-30.039325176524862,-51.22147492700101,porto alegre,RS
90030,-30.016728879825703,-51.20841479058233,porto alegre,RS
90010,-30.032413554532894,-51.229421077990644,porto alegre,RS
90040,-30.03340622537361,-51.22252776853821,porto alegre,RS
90035,-30.02938754342439,-51.218195034277784,porto alegre,RS
90020,-30.03218560032322,-51.2364505124935,porto alegre,RS
90050,-30.03620975160132,-51.224247806278456,porto alegre,RS
90050,-30.03673993450283,-51.222039119337566,porto alegre,RS
90030,-30.028366341104512,-51.22093267306241,porto alegre,RS
90050,-30.0317473230711,-51.22013442019168,porto alegre,RS
90050,-30.03315337636325,-51.22386445377697,porto alegre,RS
90040,-30.04082130446078,-51.21650870884076,porto alegre,RS
90035,-30.026898502914186,-51.217209294189,porto alegre,RS
90020,-30.032595146509113,-51.22795847251243,porto alegre,RS
90035,-30.031090742714525,-51.21084172413287,porto alegre,RS
90010,-30.033137965029717,-51.22965055285946,porto alegre,RS
90010,-30.03333150043269,-51.231973059813,porto alegre,RS
90035,-30.029399381903172,-51.2084603413643,porto alegre,RS
90010,-30.03335815488478,-51.22609883207346,porto alegre,RS
90010,-30.03050993366611,-51.22818202706443,porto alegre,RS
90010,-30.03333344936224,-51.231973059813,porto alegre,RS
90027,-30.030124399676772,-51.230344987506506,porto alegre,RS
90035,-30.031441543712848,-51.21524264031382,porto alegre,RS
90020,-30.030804334179606,-51.232332327081814,porto alegre,RS
90035,-30.027380070229025,-51.2114070334411,porto alegre,RS
90035,-30.030057,-51.208449743118564,porto alegre,RS
90020,-30.035842878988987,-51.228144140313844,porto alegre,RS
90035,-30.0324327799065,-51.2097742496681,porto alegre,RS
90010,-30.0359419933178,-51.236202680281295,porto alegre,RS
90040,-30.0413156128167,-51.212636393271474,porto alegre,RS
90050,-30.03513742626155,-51.22563829941002,porto alegre,RS
90040,-30.046312948381296,-51.21256705274389,porto alegre,RS
90050,-30.0401361715332,-51.21917564031383,porto alegre,RS
90020,-30.029756543424398,-51.22637141909515,porto alegre,RS
90020,-30.03007637246811,-51.224701878008034,porto alegre,RS
90050,-30.042309793496514,-51.22190154094288,porto alegre,RS
90050,-30.034329170696484,-51.224210161261404,porto alegre,RS
90035,-30.021059881758948,-51.21380765000869,porto alegre,RS
90050,-30.04480237275657,-51.22186306855559,porto alegre,RS
90020,-30.029414919787644,-51.22784982985178,porto alegre,RS
90020,-30.029338707744238,-51.22464142907847,porto alegre,RS
90010,-30.030681425212002,-51.2344232134284,porto alegre,RS
90040,-30.03483015985456,-51.22134451283966,porto alegre,RS
90010,-30.029101071614004,-51.229741788504846,porto alegre,RS
90010,-30.03490551788917,-51.22743361809682,porto alegre,RS
90010,-30.03621174271452,-51.23377268748912,porto alegre,RS
90050,-30.03961163751521,-51.218515314328535,porto alegre,RS
90050,-30.040920702464113,-51.220183263950574,porto alegre,RS
90010,-30.03452746433723,-51.235383336257065,porto alegre,RS
90020,-29.98898245628715,-51.13323509645674,porto alegre,RS
90035,-30.031812534277798,-51.21601882693759,porto alegre,RS
90035,-30.03137306466045,-51.21344346932887,porto alegre,RS
90050,-30.043443456575602,-51.225534314184294,porto alegre,RS
90040,-30.04100346266378,-51.211285427981956,porto alegre,RS
90050,-30.044343594494844,-51.225510934358596,porto alegre,RS
90050,-30.03723396003805,-51.22248911933757,porto alegre,RS
90090,-30.014991567440997,-51.262867040069025,porto alegre,RS
90020,-30.03235938525005,-51.236800994719864,porto alegre,RS
90010,-30.033505561746253,-51.228831462808024,porto alegre,RS
90020,-30.030201334179605,-51.23055499471987,porto alegre,RS
90040,-30.042407378844754,-51.21868767652485,porto alegre,RS
90030,-30.028795292255765,-51.222321378008054,porto alegre,RS
90050,-30.04255261394189,-51.21459835622371,porto alegre,RS
90050,-30.03800050124075,-51.22270993242535,porto alegre,RS
90010,-30.030923398291797,-51.22673237246812,porto alegre,RS
90010,-30.02960465471189,-51.23428916570482,porto alegre,RS
90040,-30.041370735490226,-51.20864395904975,porto alegre,RS
90035,-30.030785779906502,-51.208503756881434,porto alegre,RS
90010,-30.03605907908717,-51.23518516971553,porto alegre,RS
90020,-30.030333463788967,-51.226066121011,porto alegre,RS
90020,-30.030321456575603,-51.22625414654623,porto alegre,RS
90010,-30.03937643281452,-51.22986464635886,porto alegre,RS
90010,-30.036139438253738,-51.22902049417161,porto alegre,RS
90035,-30.031019413266772,-51.2097382359052,porto alegre,RS
90020,-30.03017626311385,-51.224702396329896,porto alegre,RS
90010,-30.033671625598647,-51.23744266097297,porto alegre,RS
90040,-30.042803211206692,-51.21938475742971,porto alegre,RS
90050,-30.0440654207686,-51.217166462663776,porto alegre,RS
90035,-30.029370539529253,-51.217825059813,porto alegre,RS
90010,-30.032489399936576,-51.23369092284607,porto alegre,RS
90050,-30.04108493311785,-51.221983090628356,porto alegre,RS
90010,-30.039913645565292,-51.236777708436726,porto alegre,RS
90040,-30.04119771135092,-51.20856883804608,porto alegre,RS
90010,-30.03647628365741,-51.227659724248426,porto alegre,RS
90010,-30.036170482110826,-51.22983138481735,porto alegre,RS
90010,-30.030885587281485,-51.22506971426512,porto alegre,RS
90010,-30.033431944106002,-51.22969842537749,porto alegre,RS
90040,-30.037364402446734,-51.20923909576425,porto alegre,RS
90020,-30.032327366928197,-51.2366920202551,porto alegre,RS
90050,-30.038204459118248,-51.22716717775551,porto alegre,RS
90035,-30.028420340007987,-51.21208731917597,porto alegre,RS
90010,-30.02717858228982,-51.22982361128748,porto alegre,RS
90010,-30.029967261728874,-51.233879299065094,porto alegre,RS
90010,-30.03392630890418,-51.238529952680466,porto alegre,RS
90010,-30.032610600063425,-51.233904602689144,porto alegre,RS
90010,-30.03488370384909,-51.23359600943506,porto alegre,RS
90040,-30.039925746869464,-51.20873689814756,porto alegre,RS
90010,-30.031537485140586,-51.22863025145711,porto alegre,RS
90040,-30.04144858006812,-51.21253791159332,porto alegre,RS
90035,-30.03430930613423,-51.21278231542506,porto alegre,RS
90040,-30.03869024202203,-51.20942185610814,porto alegre,RS
90050,-30.04652065029715,-51.21505274911981,porto alegre,RS
90040,-30.038266393011675,-51.21879365918394,porto alegre,RS
90035,-30.032278543712856,-51.2153156147786,porto alegre,RS
90035,-30.029287568959607,-51.21646261809681,porto alegre,RS
90040,-30.042345520947595,-51.212886453517186,porto alegre,RS
90040,-30.038484341941228,-51.21862566639732,porto alegre,RS
90020,-30.029987930765706,-51.23019995561903,porto alegre,RS
90050,-30.042508684142252,-51.222440063563916,porto alegre,RS
90050,-30.042696341392965,-51.22283193643607,porto alegre,RS
90050,-30.036015367187996,-51.222979361099824,porto alegre,RS
90010,-30.03362665860703,-51.22686012184774,porto alegre,RS
90010,-30.027750570892852,-51.228740162790615,porto alegre,RS
90010,-30.02825625457612,-51.229966224414845,porto alegre,RS
90050,-30.044354543424397,-51.22639445337296,porto alegre,RS
90050,-30.033959049685468,-51.222863069796325,porto alegre,RS
90040,-30.039671713572613,-51.20930493992718,porto alegre,RS
90010,-30.032501489324183,-51.22870219900168,porto alegre,RS
90020,-30.028222121011012,-51.22667181972422,porto alegre,RS
90035,-30.029095729384323,-51.210384322926856,porto alegre,RS
90010,-30.035558965029715,-51.236343428818685,porto alegre,RS
90035,-30.02943151485941,-51.212852947544576,porto alegre,RS
90035,-30.029433442148882,-51.217978940186995,porto alegre,RS
90040,-30.04177155369617,-51.21498706287143,porto alegre,RS
90010,-30.03674673411618,-51.227890816810024,porto alegre,RS
90010,-30.03159151485941,-51.22868013918864,porto alegre,RS
90020,-30.029721463788967,-51.2243086588955,porto alegre,RS
90010,-30.034903431040377,-51.234394615182616,porto alegre,RS
90020,-30.0282411268394,-51.22555845461371,porto alegre,RS
90050,-30.043027090195675,-51.226998888568275,porto alegre,RS
90020,-30.031480224825355,-51.23425357562472,porto alegre,RS
90020,-30.028147711350922,-51.22460510756524,porto alegre,RS
90035,-30.02711720676329,-51.21047891701769,porto alegre,RS
90030,-30.02812453621103,-51.2232530342778,porto alegre,RS
90050,-30.046791342489485,-51.214910229240076,porto alegre,RS
90040,-30.039632026083478,-51.21159897279133,porto alegre,RS
90040,-30.04365915430786,-51.2132843237636,porto alegre,RS
90035,-30.033471908679147,-51.21501697140634,porto alegre,RS
90020,-30.031255623925205,-51.22584037800803,porto alegre,RS
90010,-30.03209339993657,-51.23238167430318,porto alegre,RS
90035,-30.029655456575604,-51.203672549541245,porto alegre,RS
90010,-30.02784340882338,-51.2305147307693,porto alegre,RS
90050,-30.033146325292808,-51.22386144656362,porto alegre,RS
90010,-30.03015893366611,-51.228213527064426,porto alegre,RS
90020,-30.02898859838998,-51.224612396329896,porto alegre,RS
90035,-30.027017869842386,-51.20988655744709,porto alegre,RS
90010,-30.033550561746253,-51.22817946572221,porto alegre,RS
90010,-30.036147463788968,-51.22923199417161,porto alegre,RS
90050,-30.03669213656292,-51.22068788314393,porto alegre,RS
90035,-30.031551586733226,-51.209795256881456,porto alegre,RS
90040,-30.04540166527213,-51.212980289745595,porto alegre,RS
90020,-30.029684489324183,-51.22359829808414,porto alegre,RS
90020,-30.030359405505155,-51.22560262101101,porto alegre,RS
90035,-30.035097618096824,-51.208412698597634,porto alegre,RS
90090,-30.01440867138897,-51.25970683694957,porto alegre,RS
90035,-30.03226124562871,-51.2097192830805,porto alegre,RS
90035,-30.03306353318127,-51.210301332361915,porto alegre,RS
90035,-30.02936549956731,-51.217825059813,porto alegre,RS
90020,-30.029881431040373,-51.22759001817765,porto alegre,RS
90010,-30.03161965860703,-51.23731264738296,porto alegre,RS
90010,-30.033913902590967,-51.23482385997463,porto alegre,RS
90020,-30.0281129040595,-51.22669429728961,porto alegre,RS
90010,-30.033470536211034,-51.22939846280801,porto alegre,RS
90010,-30.031537485140586,-51.22876075145709,porto alegre,RS
90040,-30.040521464885483,-51.21089755952457,porto alegre,RS
90050,-30.042059122684456,-51.22321270760001,porto alegre,RS
90010,-30.03564709019567,-51.23847953067112,porto alegre,RS
90030,-30.027523734952894,-51.22595458006811,porto alegre,RS
90010,-30.034836503462447,-51.23478949417162,porto alegre,RS
90010,-30.03261637440135,-51.23410139731083,porto alegre,RS
90020,-30.0278318731606,-51.225585070921525,porto alegre,RS
90010,-30.037325467684106,-51.236603779906524,porto alegre,RS
90010,-30.0361214188067,-51.23953816305043,porto alegre,RS
90010,-30.037407359974626,-51.22982573757864,porto alegre,RS
90035,-30.02705314847948,-51.210268475301476,porto alegre,RS
